CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Classe;Quantidade_Feminino;Quantidade_Masculino;Quantidade_Nao_Binario;Quantidade_Outros;Quantidade_Sem_Resposta
12.648.327/0001-53;2023-12-31;21;137833;Não-liderança;66;44;0;0;0
13.009.717/0001-46;2023-12-31;9;135893;Liderança;145;217;0;0;0
13.009.717/0001-46;2023-12-31;9;135893;Não-liderança;209;279;0;0;0
13.217.485/0001-11;2023-12-31;8;137191;Liderança;705;770;0;0;0
13.217.485/0001-11;2023-12-31;8;137191;Não-liderança;4400;3907;0;0;0
13.270.520/0001-66;2023-12-31;13;137760;Liderança;264;113;0;0;0
13.270.520/0001-66;2023-12-31;13;137760;Não-liderança;7568;2073;0;0;0
13.444.994/0001-87;2023-12-31;2;128486;Liderança;23;103;0;0;0
13.444.994/0001-87;2023-12-31;2;128486;Não-liderança;47;247;0;0;0
13.522.948/0001-59;2023-12-31;4;136618;Liderança;3;13;0;0;0
13.522.948/0001-59;2023-12-31;4;136618;Não-liderança;38;55;0;0;0
13.574.594/0001-96;2023-12-31;16;136609;Liderança;129;196;0;0;0
13.574.594/0001-96;2023-12-31;16;136609;Não-liderança;8675;7524;0;0;0
13.584.310/0001-42;2023-12-31;3;129865;Liderança;7;3;0;0;0
13.584.310/0001-42;2023-12-31;3;129865;Não-liderança;35;61;0;0;0
13.783.221/0004-78;2023-12-31;3;134131;Liderança;591;1093;0;0;0
13.783.221/0004-78;2023-12-31;3;134131;Não-liderança;2195;3570;0;0;0
14.110.585/0001-07;2023-12-31;15;137804;Liderança;47;55;1;0;0
14.110.585/0001-07;2023-12-31;15;137804;Não-liderança;143;190;2;0;3
14.127.813/0001-51;2023-12-31;26;136832;Liderança;14;22;0;0;0
14.127.813/0001-51;2023-12-31;26;136832;Não-liderança;74;82;1;0;0
14.191.427/0001-29;2023-12-31;1;128049;Liderança;2;9;0;0;0
14.191.427/0001-29;2023-12-31;1;128049;Não-liderança;11;17;0;0;0
14.388.334/0001-99;2023-12-31;11;135518;Liderança;52;39;0;0;0
14.388.334/0001-99;2023-12-31;11;135518;Não-liderança;211;98;0;0;0
14.776.142/0001-50;2023-12-31;18;136557;Liderança;56;56;0;0;0
14.776.142/0001-50;2023-12-31;18;136557;Não-liderança;326;267;0;0;0
14.785.152/0001-51;2023-12-31;8;137799;Liderança;7;17;0;0;0
14.785.152/0001-51;2023-12-31;8;137799;Não-liderança;33;12;0;0;0
14.807.945/0001-24;2023-12-31;8;137005;Liderança;6;47;0;0;0
14.807.945/0001-24;2023-12-31;8;137005;Não-liderança;131;1228;0;0;5
14.882.295/0001-81;2023-12-31;8;136106;Liderança;30;374;0;0;0
14.882.295/0001-81;2023-12-31;8;136106;Não-liderança;207;1148;0;0;0
14.998.371/0001-19;2023-12-31;5;136057;Liderança;55;204;0;0;0
14.998.371/0001-19;2023-12-31;5;136057;Não-liderança;481;1847;0;0;0
15.073.274/0001-88;2023-12-31;2;128440;Liderança;0;2;0;0;0
15.073.274/0001-88;2023-12-31;2;128440;Não-liderança;0;0;0;0;1
15.101.405/0001-93;2023-12-31;5;131017;Liderança;1;4;0;0;0
15.101.405/0001-93;2023-12-31;5;131017;Não-liderança;1;0;0;0;0
15.115.504/0001-24;2023-12-31;6;136974;Liderança;5;10;0;0;0
15.115.504/0001-24;2023-12-31;6;136974;Não-liderança;46;281;0;0;0
15.139.629/0001-94;2023-12-31;14;135917;Liderança;99;205;0;0;0
15.139.629/0001-94;2023-12-31;14;135917;Não-liderança;952;4217;0;0;0
15.141.799/0001-03;2023-12-31;5;136575;Liderança;16;139;0;0;0
15.141.799/0001-03;2023-12-31;5;136575;Não-liderança;271;2763;0;0;0
15.144.017/0001-90;2023-12-31;9;134209;Liderança;2;6;0;0;0
15.144.017/0001-90;2023-12-31;9;134209;Não-liderança;9;11;0;10;0
16.233.389/0001-55;2023-12-31;7;135762;Liderança;103;94;0;0;0
16.233.389/0001-55;2023-12-31;7;135762;Não-liderança;1121;992;0;0;0
16.234.171/0001-15;2023-12-31;2;129344;Liderança;2;5;0;0;0
16.234.171/0001-15;2023-12-31;2;129344;Não-liderança;13;51;0;0;0
16.404.287/0001-55;2023-12-31;12;137725;Liderança;340;1064;0;0;0
16.404.287/0001-55;2023-12-31;12;137725;Não-liderança;3217;14698;0;0;0
16.590.234/0001-76;2023-12-31;9;136975;Liderança;437;395;0;0;0
16.590.234/0001-76;2023-12-31;9;136975;Não-liderança;3869;2871;0;0;0
16.614.075/0001-00;2023-12-31;10;137670;Liderança;101;138;0;0;0
16.614.075/0001-00;2023-12-31;10;137670;Não-liderança;745;4348;0;0;0
16.670.085/0001-55;2023-12-31;16;137317;Liderança;807;886;0;0;0
16.670.085/0001-55;2023-12-31;16;137317;Não-liderança;6956;8903;0;0;0
16.676.520/0001-59;2023-12-31;9;137955;Liderança;313;115;0;0;0
16.676.520/0001-59;2023-12-31;9;137955;Não-liderança;6249;1904;0;0;0
16.811.931/0001-00;2023-12-31;14;135498;Liderança;119;96;0;0;0
16.811.931/0001-00;2023-12-31;14;135498;Não-liderança;42;55;0;0;0
16.922.038/0001-51;2023-12-31;8;137295;Liderança;23;26;0;0;0
16.922.038/0001-51;2023-12-31;8;137295;Não-liderança;133;117;3;0;0
17.155.730/0001-64;2023-12-31;14;137237;Liderança;37;162;0;0;0
17.155.730/0001-64;2023-12-31;14;137237;Não-liderança;665;4059;0;0;0
17.159.229/0001-76;2023-12-31;1;127979;Liderança;88;104;0;0;0
17.159.229/0001-76;2023-12-31;1;127979;Não-liderança;1555;1699;0;0;0
17.161.241/0001-15;2023-12-31;1;125804;Liderança;5;18;0;0;0
17.161.241/0001-15;2023-12-31;1;125804;Não-liderança;114;323;0;0;0
17.162.082/0001-73;2023-12-31;1;127635;Liderança;1;2;0;0;0
17.162.082/0001-73;2023-12-31;1;127635;Não-liderança;0;6;0;0;0
17.167.396/0001-69;2023-12-31;13;136162;Liderança;0;0;0;0;1
17.167.396/0001-69;2023-12-31;13;136162;Não-liderança;0;0;0;0;1
17.167.412/0001-13;2023-12-31;14;135013;Liderança;47;44;0;0;0
17.167.412/0001-13;2023-12-31;14;135013;Não-liderança;466;245;0;0;0
17.184.037/0001-10;2023-12-31;9;136152;Liderança;296;409;0;0;0
17.184.037/0001-10;2023-12-31;9;136152;Não-liderança;1121;1002;0;0;0
17.193.806/0001-46;2023-12-31;10;134826;Liderança;0;0;0;0;1
17.193.806/0001-46;2023-12-31;10;134826;Não-liderança;0;0;0;0;1
17.245.234/0001-00;2023-12-31;5;133727;Liderança;23;174;0;0;0
17.245.234/0001-00;2023-12-31;5;133727;Não-liderança;1013;2492;0;0;0
17.281.106/0001-03;2023-12-31;23;136672;Liderança;56;1289;0;0;0
17.281.106/0001-03;2023-12-31;23;136672;Não-liderança;861;7984;0;0;0
17.314.329/0001-20;2023-12-31;12;135495;Liderança;170;223;0;0;0
17.314.329/0001-20;2023-12-31;12;135495;Não-liderança;4065;2724;0;535;0
17.344.597/0001-94;2023-12-31;16;137130;Liderança;7;31;0;0;0
17.344.597/0001-94;2023-12-31;16;137130;Não-liderança;60;77;0;0;0
17.359.233/0001-88;2023-12-31;3;136043;Liderança;36;244;0;0;0
17.359.233/0001-88;2023-12-31;3;136043;Não-liderança;542;1843;0;0;0
17.943.792/0001-30;2023-12-31;1;127632;Liderança;2;7;0;0;0
17.943.792/0001-30;2023-12-31;1;127632;Não-liderança;9;8;0;0;0
18.174.270/0001-84;2023-12-31;5;137310;Liderança;27;46;0;0;0
18.174.270/0001-84;2023-12-31;5;137310;Não-liderança;145;167;0;0;0
18.328.118/0001-09;2023-12-31;8;136960;Liderança;72;88;1;0;537
18.328.118/0001-09;2023-12-31;8;136960;Não-liderança;1486;1120;25;4;3980
18.483.666/0001-03;2023-12-31;5;133334;Liderança;5;8;0;0;0
18.483.666/0001-03;2023-12-31;5;133334;Não-liderança;15;21;0;0;0
18.593.815/0001-97;2023-12-31;13;137702;Liderança;70;629;0;0;0
18.593.815/0001-97;2023-12-31;13;137702;Não-liderança;515;4610;0;0;0
19.014.221/0001-47;2023-12-31;6;136189;Liderança;31;130;0;0;0
19.014.221/0001-47;2023-12-31;6;136189;Não-liderança;173;641;0;0;0
19.378.769/0001-76;2023-12-31;3;128238;Liderança;533;219;0;0;0
19.378.769/0001-76;2023-12-31;3;128238;Não-liderança;5225;1507;0;0;0
19.403.252/0001-90;2023-12-31;9;137277;Liderança;46;158;0;0;0
19.403.252/0001-90;2023-12-31;9;137277;Não-liderança;294;684;0;0;0
19.521.322/0001-04;2023-12-31;4;136508;Liderança;13;49;0;0;0
19.521.322/0001-04;2023-12-31;4;136508;Não-liderança;389;377;0;0;0
19.526.748/0001-50;2023-12-31;2;136495;Liderança;16;62;0;0;0
19.526.748/0001-50;2023-12-31;2;136495;Não-liderança;425;812;0;0;0
19.796.586/0001-70;2023-12-31;4;135488;Liderança;106;341;0;0;0
19.796.586/0001-70;2023-12-31;4;135488;Não-liderança;1631;4825;0;0;0
20.247.322/0001-47;2023-12-31;10;135659;Liderança;209;269;0;0;0
20.247.322/0001-47;2023-12-31;10;135659;Não-liderança;380;447;0;0;0
20.258.278/0001-70;2023-12-31;5;136542;Liderança;56;93;0;0;0
20.258.278/0001-70;2023-12-31;5;136542;Não-liderança;383;627;0;0;0
20.512.706/0001-40;2023-12-31;14;136109;Liderança;520;326;0;0;0
20.512.706/0001-40;2023-12-31;14;136109;Não-liderança;5844;3487;0;0;0
21.110.778/0001-23;2023-12-31;6;134532;Liderança;7;28;0;0;0
21.110.778/0001-23;2023-12-31;6;134532;Não-liderança;100;173;0;0;0
21.240.146/0001-84;2023-12-31;16;136597;Liderança;72;405;0;0;0
21.240.146/0001-84;2023-12-31;16;136597;Não-liderança;660;1490;0;0;0
21.254.073/0001-80;2023-12-31;2;136116;Liderança;0;3;0;0;0
21.254.073/0001-80;2023-12-31;2;136116;Não-liderança;5;4;0;0;0
21.255.567/0001-89;2023-12-31;6;136752;Liderança;21;103;0;0;0
21.255.567/0001-89;2023-12-31;6;136752;Não-liderança;515;877;0;0;0
21.314.559/0001-66;2023-12-31;20;137252;Liderança;298;441;0;0;0
21.314.559/0001-66;2023-12-31;20;137252;Não-liderança;2184;3037;0;0;0
21.389.501/0001-81;2023-12-31;10;136680;Liderança;9;16;0;0;0
21.389.501/0001-81;2023-12-31;10;136680;Não-liderança;22;11;0;0;0
21.948.105/0001-47;2023-12-31;1;128063;Liderança;0;5;0;0;0
21.948.105/0001-47;2023-12-31;1;128063;Não-liderança;0;1;0;0;0
21.976.510/0001-79;2023-12-31;1;128064;Liderança;0;5;0;0;0
21.976.510/0001-79;2023-12-31;1;128064;Não-liderança;0;1;0;0;0
22.261.473/0001-85;2023-12-31;11;137116;Liderança;6;35;0;0;0
22.261.473/0001-85;2023-12-31;11;137116;Não-liderança;32;83;0;0;0
22.266.175/0001-88;2023-12-31;13;137810;Liderança;0;0;0;0;1
22.266.175/0001-88;2023-12-31;13;137810;Não-liderança;0;0;0;0;1510
22.543.331/0001-00;2023-12-31;9;136588;Liderança;23;42;0;0;0
22.543.331/0001-00;2023-12-31;9;136588;Não-liderança;37;27;0;0;0
22.677.520/0001-76;2023-12-31;7;136799;Liderança;2;9;0;0;0
22.677.520/0001-76;2023-12-31;7;136799;Não-liderança;0;0;0;0;1
23.041.875/0001-37;2023-12-31;5;135482;Liderança;271;457;0;0;0
23.041.875/0001-37;2023-12-31;5;135482;Não-liderança;16352;16346;0;4;0
23.236.821/0001-27;2023-12-31;5;135757;Liderança;26;37;0;0;0
23.236.821/0001-27;2023-12-31;5;135757;Não-liderança;246;700;0;0;0
23.373.000/0001-32;2023-12-31;18;136159;Liderança;67;268;0;0;0
23.373.000/0001-32;2023-12-31;18;136159;Não-liderança;483;2009;0;0;0
23.438.929/0001-00;2023-12-31;6;133243;Liderança;132;268;0;0;0
23.438.929/0001-00;2023-12-31;6;133243;Não-liderança;582;1042;0;0;0
24.230.275/0001-80;2023-12-31;2;136596;Liderança;69;102;0;1;0
24.230.275/0001-80;2023-12-31;2;136596;Não-liderança;158;95;3;1;0
24.396.489/0001-20;2023-12-31;10;136914;Liderança;275;656;0;0;0
24.396.489/0001-20;2023-12-31;10;136914;Não-liderança;1222;4197;0;0;0
24.410.913/0001-44;2023-12-31;3;129753;Liderança;689;934;5;9;27
24.410.913/0001-44;2023-12-31;3;129753;Não-liderança;2774;3348;50;54;159
24.921.465/0001-43;2023-12-31;3;131996;Liderança;11;34;0;0;0
24.921.465/0001-43;2023-12-31;3;131996;Não-liderança;600;1009;0;0;0
24.962.466/0001-36;2023-12-31;6;135531;Liderança;111;374;0;0;0
24.962.466/0001-36;2023-12-31;6;135531;Não-liderança;856;6973;0;0;0
24.990.777/0001-09;2023-12-31;9;137712;Liderança;1006;2565;0;0;0
24.990.777/0001-09;2023-12-31;9;137712;Não-liderança;17158;26083;0;0;0
25.089.509/0001-83;2023-12-31;7;136127;Liderança;39;119;0;0;0
25.089.509/0001-83;2023-12-31;7;136127;Não-liderança;154;785;0;0;0
25.249.439/0001-83;2023-12-31;5;134235;Liderança;170;81;0;0;0
25.249.439/0001-83;2023-12-31;5;134235;Não-liderança;6289;1790;0;0;0
25.369.840/0001-57;2023-12-31;11;137379;Liderança;48;97;0;0;0
25.369.840/0001-57;2023-12-31;11;137379;Não-liderança;236;334;0;0;0
26.072.786/0001-46;2023-12-31;3;136118;Liderança;0;0;0;0;63
26.072.786/0001-46;2023-12-31;3;136118;Não-liderança;0;0;0;0;2983
26.345.998/0001-50;2023-12-31;11;137722;Liderança;20;73;0;1;0
26.345.998/0001-50;2023-12-31;11;137722;Não-liderança;84;156;0;2;3
26.462.693/0001-28;2023-12-31;4;136129;Liderança;32;26;0;0;1
26.462.693/0001-28;2023-12-31;4;136129;Não-liderança;46;167;0;0;8
26.659.061/0001-59;2023-12-31;12;137861;Liderança;695;57;0;0;0
26.659.061/0001-59;2023-12-31;12;137861;Não-liderança;3985;130;0;0;0
27.093.558/0001-15;2023-12-31;9;138941;Liderança;50;161;0;0;0
27.093.558/0001-15;2023-12-31;9;138941;Não-liderança;436;1306;0;0;0
27.743.642/0001-37;2023-12-31;4;132766;Liderança;0;1;0;0;0
27.743.642/0001-37;2023-12-31;4;132766;Não-liderança;1;2;0;0;0
28.127.603/0001-78;2023-12-31;15;136663;Liderança;200;246;0;0;0
28.127.603/0001-78;2023-12-31;15;136663;Não-liderança;672;955;0;0;0
28.195.667/0001-06;2023-12-31;16;137178;Liderança;45;154;0;0;0
28.195.667/0001-06;2023-12-31;16;137178;Não-liderança;309;535;0;0;0
28.594.234/0001-23;2023-12-31;9;137267;Liderança;0;0;0;0;74
28.594.234/0001-23;2023-12-31;9;137267;Não-liderança;0;0;0;0;227
29.780.061/0001-09;2023-12-31;10;137931;Liderança;12;14;0;0;0
29.780.061/0001-09;2023-12-31;10;137931;Não-liderança;26;24;0;0;0
29.950.060/0001-57;2023-12-31;4;137893;Liderança;10;33;0;0;0
29.950.060/0001-57;2023-12-31;4;137893;Não-liderança;45;215;0;0;0
29.980.141/0001-08;2023-12-31;7;137329;Liderança;20;45;0;0;0
29.980.141/0001-08;2023-12-31;7;137329;Não-liderança;132;1539;0;0;0
30.213.493/0001-09;2023-12-31;4;135143;Liderança;82;117;0;0;0
30.213.493/0001-09;2023-12-31;4;135143;Não-liderança;235;491;0;0;0
30.306.294/0001-45;2023-12-31;14;138412;Liderança;456;1332;0;0;0
30.306.294/0001-45;2023-12-31;14;138412;Não-liderança;1442;2769;0;0;0
30.540.991/0001-66;2023-12-31;4;136008;Liderança;3;20;0;0;0
30.540.991/0001-66;2023-12-31;4;136008;Não-liderança;53;80;0;0;0
30.723.886/0001-62;2023-12-31;3;128855;Liderança;49;181;0;0;0
30.723.886/0001-62;2023-12-31;3;128855;Não-liderança;294;567;0;0;0
31.553.627/0001-01;2023-12-31;11;136766;Liderança;51;139;0;0;0
31.553.627/0001-01;2023-12-31;11;136766;Não-liderança;233;327;0;0;58
31.748.174/0001-60;2023-12-31;10;135631;Liderança;88;199;0;0;0
31.748.174/0001-60;2023-12-31;10;135631;Não-liderança;920;1363;0;0;0
32.021.201/0001-61;2023-12-31;12;134315;Liderança;33;83;0;4;66
32.021.201/0001-61;2023-12-31;12;134315;Não-liderança;91;181;0;17;423
32.681.371/0001-72;2023-12-31;3;134520;Liderança;60;196;0;0;0
32.681.371/0001-72;2023-12-31;3;134520;Não-liderança;1191;8338;0;0;0
32.785.497/0001-97;2023-12-31;12;137902;Liderança;470;336;0;0;0
32.785.497/0001-97;2023-12-31;12;137902;Não-liderança;4521;3035;0;0;1
33.000.167/0001-01;2023-12-31;26;137831;Liderança;105;214;0;0;4209
33.000.167/0001-01;2023-12-31;26;137831;Não-liderança;362;805;7;0;32980
33.035.536/0001-00;2023-12-31;4;135887;Liderança;7;13;0;0;0
33.035.536/0001-00;2023-12-31;4;135887;Não-liderança;28;44;0;0;10
33.040.601/0001-87;2023-12-31;4;136154;Liderança;0;7;0;0;0
33.040.601/0001-87;2023-12-31;4;136154;Não-liderança;0;0;0;0;1
33.041.260/0652-90;2023-12-31;23;137451;Liderança;540;1056;0;0;0
33.041.260/0652-90;2023-12-31;23;137451;Não-liderança;18621;21649;0;0;0
33.042.730/0001-04;2023-12-31;9;137659;Liderança;169;1100;0;0;0
33.042.730/0001-04;2023-12-31;9;137659;Não-liderança;5263;19598;0;0;0
33.050.071/0001-58;2023-12-31;14;135754;Liderança;22;61;0;0;43
33.050.071/0001-58;2023-12-31;14;135754;Não-liderança;157;345;2;3;530
33.102.476/0001-92;2023-12-31;4;137041;Liderança;0;4;0;0;0
33.102.476/0001-92;2023-12-31;4;137041;Não-liderança;10;12;0;0;0
33.113.309/0001-47;2023-12-31;12;136868;Liderança;57;156;0;0;0
33.113.309/0001-47;2023-12-31;12;136868;Não-liderança;1091;1311;0;0;0
33.130.691/0001-05;2023-12-31;6;135829;Liderança;104;245;0;0;1
33.130.691/0001-05;2023-12-31;6;135829;Não-liderança;702;2860;2;0;6
33.200.049/0001-47;2023-12-31;1;127255;Liderança;17;35;0;0;0
33.200.049/0001-47;2023-12-31;1;127255;Não-liderança;114;199;0;0;0
33.228.024/0001-51;2023-12-31;3;136911;Liderança;0;0;0;0;133
33.228.024/0001-51;2023-12-31;3;136911;Não-liderança;0;0;0;0;813
33.256.439/0001-39;2023-12-31;7;137601;Liderança;371;803;0;0;0
33.256.439/0001-39;2023-12-31;7;137601;Não-liderança;2656;5948;0;0;0
33.352.394/0001-04;2023-12-31;5;135886;Liderança;0;0;0;0;577
33.352.394/0001-04;2023-12-31;5;135886;Não-liderança;156;347;0;5;2243
33.376.989/0001-91;2023-12-31;13;137703;Liderança;16;38;0;0;0
33.376.989/0001-91;2023-12-31;13;137703;Não-liderança;162;164;0;0;0
33.386.210/0001-19;2023-12-31;1;127857;Liderança;4;7;0;0;0
33.386.210/0001-19;2023-12-31;1;127857;Não-liderança;109;184;0;0;0
33.467.572/0001-34;2023-12-31;2;136507;Liderança;6;32;0;0;0
33.467.572/0001-34;2023-12-31;2;136507;Não-liderança;55;282;0;1;0
33.541.368/0001-16;2023-12-31;6;136210;Liderança;57;196;0;0;0
33.541.368/0001-16;2023-12-31;6;136210;Não-liderança;409;2032;0;0;0
33.572.408/0001-97;2023-12-31;5;136586;Liderança;111;374;0;0;0
33.572.408/0001-97;2023-12-31;5;136586;Não-liderança;856;6973;0;0;0
33.592.510/0001-54;2023-12-31;22;137025;Liderança;1109;4246;0;0;0
33.592.510/0001-54;2023-12-31;22;137025;Não-liderança;13133;46026;0;0;2
33.611.500/0001-19;2023-12-31;13;138034;Liderança;1124;3484;0;0;2
33.611.500/0001-19;2023-12-31;13;138034;Não-liderança;3379;22607;0;0;2
33.839.910/0001-11;2023-12-31;10;136574;Liderança;475;105;0;0;0
33.839.910/0001-11;2023-12-31;10;136574;Não-liderança;3447;430;0;0;0
33.938.119/0001-69;2023-12-31;5;137821;Liderança;53;56;0;0;0
33.938.119/0001-69;2023-12-31;5;137821;Não-liderança;96;167;0;0;0
33.958.695/0001-78;2023-12-31;15;135966;Liderança;30;130;0;0;35
33.958.695/0001-78;2023-12-31;15;135966;Não-liderança;111;631;0;0;494
34.169.557/0001-72;2023-12-31;4;130647;Liderança;1;3;0;0;0
34.169.557/0001-72;2023-12-31;4;130647;Não-liderança;0;3;0;0;0
34.274.233/0001-02;2023-12-31;22;138000;Liderança;62;211;0;0;0
34.274.233/0001-02;2023-12-31;22;138000;Não-liderança;924;2167;0;0;0
35.727.157/0001-06;2023-12-31;3;137551;Liderança;1;1;0;0;0
35.727.157/0001-06;2023-12-31;3;137551;Não-liderança;5;60;0;0;0
35.791.391/0001-94;2023-12-31;9;138043;Liderança;33;109;0;0;0
35.791.391/0001-94;2023-12-31;9;138043;Não-liderança;376;1253;0;0;0
36.542.025/0001-64;2023-12-31;5;134174;Liderança;96;185;0;0;0
36.542.025/0001-64;2023-12-31;5;134174;Não-liderança;743;2124;0;0;0
37.663.076/0001-07;2023-12-31;15;137741;Liderança;27;71;0;0;0
37.663.076/0001-07;2023-12-31;15;137741;Não-liderança;151;345;0;0;0
37.702.340/0001-74;2023-12-31;2;130746;Liderança;52;40;0;0;0
37.702.340/0001-74;2023-12-31;2;130746;Não-liderança;338;175;0;0;0
38.199.406/0001-18;2023-12-31;2;133614;Liderança;1;40;0;0;0
38.199.406/0001-18;2023-12-31;2;133614;Não-liderança;21;335;0;0;0
38.307.135/0001-77;2023-12-31;4;135507;Liderança;0;0;0;0;1
38.307.135/0001-77;2023-12-31;4;135507;Não-liderança;0;0;0;0;1
38.456.921/0001-36;2023-12-31;14;136778;Liderança;132;173;0;0;0
38.456.921/0001-36;2023-12-31;14;136778;Não-liderança;1761;1136;0;0;0
39.115.514/0001-28;2023-12-31;4;136587;Liderança;111;374;0;0;0
39.115.514/0001-28;2023-12-31;4;136587;Não-liderança;856;6973;0;0;0
39.346.861/0350-38;2023-12-31;7;137657;Liderança;910;1627;0;0;0
39.346.861/0350-38;2023-12-31;7;137657;Não-liderança;8920;8310;0;0;0
39.580.673/0001-01;2023-12-31;6;137846;Liderança;27;67;0;0;0
39.580.673/0001-01;2023-12-31;6;137846;Não-liderança;113;385;0;0;0
39.881.421/0001-04;2023-12-31;2;137198;Liderança;19;40;0;0;0
39.881.421/0001-04;2023-12-31;2;137198;Não-liderança;13;146;0;0;0
40.159.947/0001-64;2023-12-31;7;137862;Liderança;27;141;0;0;0
40.159.947/0001-64;2023-12-31;7;137862;Não-liderança;450;1538;0;0;0
40.263.170/0001-83;2023-12-31;4;135922;Liderança;147;419;0;0;0
40.263.170/0001-83;2023-12-31;4;135922;Não-liderança;1645;8587;0;0;0
40.337.136/0001-06;2023-12-31;11;137840;Liderança;6;4;0;0;0
40.337.136/0001-06;2023-12-31;11;137840;Não-liderança;5;5;0;0;1
40.593.395/0001-06;2023-12-31;3;128889;Liderança;0;3;0;0;0
40.593.395/0001-06;2023-12-31;3;128889;Não-liderança;0;0;0;0;1
41.052.420/0001-07;2023-12-31;7;132838;Liderança;356;977;0;0;0
41.052.420/0001-07;2023-12-31;7;132838;Não-liderança;3217;13235;0;0;0
41.096.674/0001-19;2023-12-31;6;136716;Liderança;28;87;0;0;0
41.096.674/0001-19;2023-12-31;6;136716;Não-liderança;463;576;0;0;0
41.886.692/0001-02;2023-12-31;4;137399;Liderança;4;6;0;0;0
41.886.692/0001-02;2023-12-31;4;137399;Não-liderança;192;103;0;0;0
42.150.391/0001-70;2023-12-31;11;137858;Liderança;325;656;0;0;0
42.150.391/0001-70;2023-12-31;11;137858;Não-liderança;1914;5773;0;0;0
42.233.757/0001-75;2023-12-31;1;128045;Liderança;0;2;0;0;0
42.233.757/0001-75;2023-12-31;1;128045;Não-liderança;0;0;0;0;1
42.278.291/0001-24;2023-12-31;10;137740;Liderança;39;126;0;0;0
42.278.291/0001-24;2023-12-31;10;137740;Não-liderança;234;632;0;0;0
42.278.473/0001-03;2023-12-31;9;137096;Liderança;107;116;0;0;89
42.278.473/0001-03;2023-12-31;9;137096;Não-liderança;751;491;4;3;371
42.331.462/0001-31;2023-12-31;5;133674;Liderança;10;54;0;0;0
42.331.462/0001-31;2023-12-31;5;133674;Não-liderança;164;408;0;0;0
42.500.384/0001-51;2023-12-31;6;134406;Liderança;28;68;0;0;0
42.500.384/0001-51;2023-12-31;6;134406;Não-liderança;88;154;0;0;0
42.737.954/0001-21;2023-12-31;9;134281;Liderança;221;407;0;0;0
42.737.954/0001-21;2023-12-31;9;134281;Não-liderança;1458;1985;0;0;0
42.771.949/0001-35;2023-12-31;19;137491;Liderança;307;160;0;0;0
42.771.949/0001-35;2023-12-31;19;137491;Não-liderança;3819;1223;0;0;0
43.283.811/0001-50;2023-12-31;1;127902;Liderança;197;391;0;0;0
43.283.811/0001-50;2023-12-31;1;127902;Não-liderança;2004;2281;0;0;0
43.470.988/0001-65;2023-12-31;11;137609;Liderança;41;54;0;0;0
43.470.988/0001-65;2023-12-31;11;137609;Não-liderança;212;376;0;0;0
43.513.237/0001-89;2023-12-31;1;131652;Liderança;106;233;0;0;0
43.513.237/0001-89;2023-12-31;1;131652;Não-liderança;870;1583;0;0;0
43.776.517/0001-80;2023-12-31;11;136741;Liderança;144;296;0;2;1462
43.776.517/0001-80;2023-12-31;11;136741;Não-liderança;581;1090;5;3;8716
43.948.405/0001-69;2023-12-31;2;136669;Liderança;226;153;0;0;0
43.948.405/0001-69;2023-12-31;2;136669;Não-liderança;6746;1829;0;0;0
45.242.914/0001-05;2023-12-31;4;131429;Liderança;652;353;2;5;133
45.242.914/0001-05;2023-12-31;4;131429;Não-liderança;9050;4093;72;89;1556
45.365.558/0001-09;2023-12-31;9;137671;Liderança;0;0;0;0;196
45.365.558/0001-09;2023-12-31;9;137671;Não-liderança;0;0;0;0;999
45.453.214/0001-51;2023-12-31;9;137936;Liderança;126;250;0;0;0
45.453.214/0001-51;2023-12-31;9;137936;Não-liderança;1860;1718;0;0;0
45.987.245/0001-92;2023-12-31;9;136700;Liderança;162;87;0;0;0
45.987.245/0001-92;2023-12-31;9;136700;Não-liderança;1819;822;0;0;0
46.119.855/0001-37;2023-12-31;5;133162;Liderança;0;0;0;0;137
46.119.855/0001-37;2023-12-31;5;133162;Não-liderança;0;0;0;0;2000
47.508.411/0001-56;2023-12-31;9;134287;Liderança;418;681;0;0;0
47.508.411/0001-56;2023-12-31;9;134287;Não-liderança;20036;17708;0;0;0
47.960.950/0001-21;2023-12-31;6;136524;Liderança;2596;2981;0;0;0
47.960.950/0001-21;2023-12-31;6;136524;Não-liderança;14109;14828;0;0;0
49.263.189/0001-02;2023-12-31;5;137787;Liderança;28;37;0;0;0
49.263.189/0001-02;2023-12-31;5;137787;Não-liderança;147;68;0;0;0
49.669.856/0001-43;2023-12-31;11;137826;Liderança;294;117;0;143;0
49.669.856/0001-43;2023-12-31;11;137826;Não-liderança;2000;657;1;526;60
50.564.053/0001-03;2023-12-31;5;137135;Liderança;16;47;0;0;0
50.564.053/0001-03;2023-12-31;5;137135;Não-liderança;634;1635;0;0;0
50.746.577/0001-15;2023-12-31;13;136131;Liderança;22;20;0;0;0
50.746.577/0001-15;2023-12-31;13;136131;Não-liderança;51;37;0;0;0
50.926.955/0001-42;2023-12-31;9;136697;Liderança;304;647;0;0;0
50.926.955/0001-42;2023-12-31;9;136697;Não-liderança;8559;8517;0;0;0
51.128.999/0001-90;2023-12-31;6;136010;Liderança;5;14;0;0;0
51.128.999/0001-90;2023-12-31;6;136010;Não-liderança;22;140;0;0;0
51.928.174/0001-50;2023-12-31;7;137125;Liderança;22;190;0;0;0
