CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Classe;Quantidade_Amarelo;Quantidade_Branco;Quantidade_Preto;Quantidade_Pardo;Quantidade_Indigena;Quantidade_Outros;Quantidade_Sem_Resposta
89.850.341/0001-60;2023-12-31;11;136875;Liderança;13;307;21;167;3;0;41
89.850.341/0001-60;2023-12-31;11;136875;Não-liderança;386;2858;1544;8458;70;0;1213
90.076.886/0001-40;2023-12-31;4;138919;Liderança;1;42;0;0;0;0;4
90.076.886/0001-40;2023-12-31;4;138919;Não-liderança;1;1950;525;141;1;0;64
90.400.888/0001-42;2023-12-31;17;137940;Liderança;56;1107;22;94;0;12;0
90.400.888/0001-42;2023-12-31;17;137940;Não-liderança;1222;33926;3395;12439;69;249;0
90.441.460/0001-48;2023-12-31;4;137407;Liderança;0;39;0;1;0;0;0
90.441.460/0001-48;2023-12-31;4;137407;Não-liderança;2;451;12;50;1;0;8
91.333.666/0001-17;2023-12-31;8;139739;Liderança;0;0;0;0;0;0;11
91.333.666/0001-17;2023-12-31;8;139739;Não-liderança;0;0;0;0;0;0;135
91.669.747/0001-92;2023-12-31;2;128679;Liderança;0;0;0;0;0;0;1
91.669.747/0001-92;2023-12-31;2;128679;Não-liderança;0;0;0;0;0;0;1
91.983.056/0001-69;2023-12-31;17;136540;Liderança;1;112;1;19;0;0;3
91.983.056/0001-69;2023-12-31;17;136540;Não-liderança;15;1014;51;338;3;0;140
92.012.467/0001-70;2023-12-31;5;136606;Liderança;2;421;4;11;0;0;0
92.012.467/0001-70;2023-12-31;5;136606;Não-liderança;1;2172;42;75;0;1;0
92.660.570/0001-26;2023-12-31;4;138132;Liderança;0;47;0;7;0;0;0
92.660.570/0001-26;2023-12-31;4;138132;Não-liderança;0;194;14;26;0;0;0
92.665.611/0001-77;2023-12-31;5;133204;Liderança;0;617;21;44;0;0;0
92.665.611/0001-77;2023-12-31;5;133204;Não-liderança;61;5936;875;1366;12;15;0
92.690.783/0001-09;2023-12-31;14;138036;Liderança;57;1707;91;567;2;0;2186
92.690.783/0001-09;2023-12-31;14;138036;Não-liderança;550;7991;2022;6517;54;0;8854
92.693.019/0001-89;2023-12-31;5;137614;Liderança;0;44;1;0;0;0;0
92.693.019/0001-89;2023-12-31;5;137614;Não-liderança;0;444;39;31;0;0;0
92.702.067/0001-96;2023-12-31;27;136674;Liderança;3;1599;23;33;1;0;1
92.702.067/0001-96;2023-12-31;27;136674;Não-liderança;13;6616;159;203;5;0;4
92.721.232/0001-57;2023-12-31;6;134014;Liderança;0;32;2;3;1;0;0
92.721.232/0001-57;2023-12-31;6;134014;Não-liderança;0;23;4;4;0;0;0
92.749.225/0001-63;2023-12-31;4;136932;Liderança;0;7;0;0;0;0;0
92.749.225/0001-63;2023-12-31;4;136932;Não-liderança;0;0;0;0;0;0;1
92.754.738/0001-62;2023-12-31;9;136012;Liderança;83;1388;278;633;11;0;679
92.754.738/0001-62;2023-12-31;9;136012;Não-liderança;425;5825;2510;4371;126;0;8192
92.781.335/0001-02;2023-12-31;9;136801;Liderança;0;174;4;1;0;81;0
92.781.335/0001-02;2023-12-31;9;136801;Não-liderança;0;926;73;19;0;2115;0
92.791.243/0001-03;2023-12-31;7;137721;Liderança;1;154;4;15;0;0;0
92.791.243/0001-03;2023-12-31;7;137721;Não-liderança;17;1536;121;464;1;0;48
93.828.986/0001-73;2023-12-31;2;137240;Liderança;0;0;0;2;0;0;0
93.828.986/0001-73;2023-12-31;2;137240;Não-liderança;0;0;0;2;0;0;0
94.813.102/0001-70;2023-12-31;3;133703;Liderança;0;392;6;38;0;0;14
94.813.102/0001-70;2023-12-31;3;133703;Não-liderança;4;1165;49;245;0;0;38
95.426.862/0001-97;2023-12-31;3;137646;Liderança;0;28;1;1;0;0;0
95.426.862/0001-97;2023-12-31;3;137646;Não-liderança;0;437;47;33;0;0;0
96.298.013/0001-68;2023-12-31;8;137557;Liderança;1;94;1;9;0;0;0
96.298.013/0001-68;2023-12-31;8;137557;Não-liderança;6;452;46;165;0;0;0
96.418.264/0218-02;2023-12-31;14;137838;Liderança;1;715;38;180;5;0;485
96.418.264/0218-02;2023-12-31;14;137838;Não-liderança;3;2271;217;714;18;0;3580
97.191.902/0001-94;2023-12-31;2;136989;Liderança;0;165;10;12;0;0;0
97.191.902/0001-94;2023-12-31;2;136989;Não-liderança;4;1608;125;191;0;0;0
97.837.181/0001-47;2023-12-31;11;136737;Liderança;6;556;14;93;0;0;14
97.837.181/0001-47;2023-12-31;11;136737;Não-liderança;99;6452;1272;4255;28;0;207
